step,S,plaq_Z,plaq_U,Pol_re,Pol_im,accU,accZ
10,,2.0,0.02427895302653455,169070720.75649273,5.69552213391944e-07,0.37890625,0.0712890625
20,,2.0,0.02419735328722827,141758858.75032917,1.6541826397542536e-06,0.3828125,0.0625
30,,2.0,0.02413981105923483,182177932.75065342,3.2443545592286682e-06,0.37890625,0.0849609375
40,,2.0,0.024421998003149065,186891962.24349168,4.188269507210407e-06,0.40234375,0.0625
50,,2.0,0.025190386546023243,215303546.6693825,4.066183223017106e-06,0.3828125,0.0771484375
60,,2.0,0.024888678410774544,226389266.29145637,3.947002440440883e-06,0.400390625,0.0791015625
70,,2.0,0.02526747886031847,265849685.39601877,2.4138608480939183e-06,0.369140625,0.0654296875
80,,2.0,0.025864289440181813,248068556.0069346,3.2231008120220395e-06,0.380859375,0.076171875
90,,2.0,0.024891784543171463,305561423.74079496,2.3062602281243016e-06,0.38671875,0.080078125
100,,2.0,0.023987233573417917,268384168.51355204,1.5117219618332456e-06,0.421875,0.076171875
110,,2.0,0.02369687621164873,280552343.60711586,2.6428275745615792e-06,0.3828125,0.0546875
120,,2.0,0.024907930439380135,292748741.5747675,5.153840803018284e-06,0.390625,0.0673828125
130,,2.0,0.02379021509672489,229517778.65257737,3.500662977273805e-06,0.35546875,0.0791015625
140,,2.0,0.023364288638477382,234618639.71199992,3.941556016684444e-06,0.37890625,0.0791015625
150,,2.0,0.02337079902189953,217066935.7352082,2.130508619302418e-06,0.361328125,0.0732421875
160,,2.0,0.023025280810430017,223060955.9871262,-4.63492881408456e-07,0.373046875,0.0712890625
170,,2.0,0.02330794665655996,237698844.40898883,1.0530261249641626e-06,0.357421875,0.0595703125
180,,2.0,0.023557416236339473,234584869.78735396,-2.0513690621726255e-06,0.373046875,0.0771484375
190,,2.0,0.02321884457440864,218075952.2704615,-1.5245590034851375e-07,0.384765625,0.0673828125
200,,2.0,0.022710369972455933,249297055.89259213,8.480561177748314e-07,0.408203125,0.0654296875
210,,2.0,0.022057111334478085,271059915.4048562,4.393128598678686e-07,0.37890625,0.080078125
220,,2.0,0.022667645165054352,219147472.25718287,-3.4722705386514008e-06,0.345703125,0.0615234375
230,,2.0,0.022512019879373672,257732010.32448748,-3.3900602005587643e-06,0.37890625,0.07421875
240,,2.0,0.021638913144402645,272216061.88064516,-3.7611890491007216e-06,0.3828125,0.0556640625
250,,2.0,0.021377301024599844,319794335.02111804,-8.797075352617867e-07,0.326171875,0.0625
260,,2.0,0.022010589825615774,356856327.8630195,1.5117295504296635e-07,0.3984375,0.0693359375
270,,2.0,0.02158018016142354,330885636.4339034,-6.262799701062249e-06,0.408203125,0.0673828125
280,,2.0,0.02172836830167712,346593948.11364067,-3.2032909160761847e-06,0.359375,0.0625
290,,2.0,0.021785650816273178,402748311.2002664,-3.717014820381337e-06,0.375,0.072265625
300,,2.0,0.022535244178658063,460309980.85301465,4.425078508063507e-06,0.3359375,0.0673828125
310,,2.0,0.02196041959439618,531516021.76894313,8.534304129170778e-06,0.388671875,0.0673828125
320,,2.0,0.0223341564760792,493643735.2644013,8.366234609979983e-06,0.36328125,0.0791015625
330,,2.0,0.022349175214483364,603327456.8236961,1.4322995105509051e-05,0.36328125,0.072265625
340,,2.0,0.022406325865787096,552619409.9054507,4.392883482751131e-06,0.384765625,0.0654296875
350,,2.0,0.022487849453392675,677999759.1993048,9.066887315611893e-06,0.359375,0.0625
360,,2.0,0.022607520151705,681775443.6406868,9.297155340703966e-06,0.392578125,0.07421875
370,,2.0,0.022488745045590012,981297296.849678,2.525295215249912e-05,0.333984375,0.0595703125
380,,2.0,0.02230544057015696,973819685.2833194,3.654602802782847e-05,0.373046875,0.064453125
390,,2.0,0.022202126978327404,972707201.8075751,3.748496511946087e-05,0.392578125,0.0712890625
400,,2.0,0.022723290121693867,917243785.1576136,2.716031397653751e-05,0.384765625,0.05859375
410,,2.0,0.021455783874047358,951595366.0396447,3.446988947075624e-05,0.333984375,0.0576171875
420,,2.0,0.02156812846711192,1105390129.014278,3.194211609525155e-05,0.380859375,0.0771484375
430,,2.0,0.02143827469948051,1194189331.6727145,3.960531170577042e-05,0.365234375,0.0791015625
440,,2.0,0.021017047134532327,801100739.6241269,2.4343699919882056e-05,0.359375,0.0576171875
450,,2.0,0.020433561387081384,863726284.6845608,2.5867251167710492e-05,0.3359375,0.0869140625
460,,2.0,0.020925826673919526,1082502687.673412,3.464740075287409e-05,0.365234375,0.08203125
470,,2.0,0.02107997324904701,1180592197.3891814,3.734960741752502e-05,0.3828125,0.068359375
480,,2.0,0.02083633889643631,1172620825.9911566,4.28068168361051e-05,0.35546875,0.0654296875
490,,2.0,0.020839322729798816,1279105399.425599,4.707104559287245e-05,0.380859375,0.0576171875
500,,2.0,0.02018807496810528,1295008854.9210658,5.340252442920246e-05,0.40234375,0.064453125
510,,2.0,0.021303108413760288,1308548015.6334777,5.39313940350894e-05,0.33984375,0.0693359375
520,,2.0,0.02193661169311495,1461534279.6367867,6.429793558737629e-05,0.3671875,0.0615234375
530,,2.0,0.021565836230386885,1521114809.3251545,7.672768845168321e-05,0.322265625,0.0615234375
540,,2.0,0.02095827926525459,1628833119.180418,8.379293372229313e-05,0.361328125,0.0634765625
550,,2.0,0.02128160918264848,1844978528.4478638,0.00010222558977801555,0.359375,0.0849609375
560,,2.0,0.021392768657432667,1697796791.2064986,8.338265755014618e-05,0.337890625,0.07421875
570,,2.0,0.021594090428200083,1782720608.6448007,9.32756524285594e-05,0.396484375,0.064453125
580,,2.0,0.021403540476837714,1936375206.094676,0.00010579116195685856,0.369140625,0.0771484375
590,,2.0,0.021192989830097528,1740177438.8775258,8.805942144363144e-05,0.345703125,0.0732421875
600,,2.0,0.02084200373959849,2185657581.419803,0.00013673565614169547,0.369140625,0.0673828125
610,,2.0,0.021039501729899348,1886347322.0870793,0.00011864816747575446,0.36328125,0.0751953125
620,,2.0,0.02167369330980117,1307864852.9371743,7.168118236577925e-05,0.388671875,0.0595703125
630,,2.0,0.021532215721293983,1065697801.6384374,5.3626918738558516e-05,0.390625,0.0673828125
640,,2.0,0.021475450489612285,1574565961.7136457,8.855727639556221e-05,0.380859375,0.0673828125
650,,2.0,0.021583019606978292,1886782555.3925626,0.00011015287144644503,0.353515625,0.0712890625
660,,2.0,0.021446552813249305,1829138039.8576655,0.00010950925536690193,0.384765625,0.0615234375
670,,2.0,0.02185856347726437,2209054046.8168497,0.00014721262624206588,0.357421875,0.0693359375
680,,2.0,0.021035362297884434,1906577313.556527,0.0001204107641292751,0.359375,0.068359375
690,,2.0,0.021491443993592922,2764595017.467841,0.00019645174711424573,0.380859375,0.064453125
700,,2.0,0.021729381289694306,2178227876.4971633,0.00014259026330165625,0.40234375,0.0673828125
710,,2.0,0.021118409323539436,2447612245.898695,0.0001598806866098812,0.3671875,0.0595703125
720,,2.0,0.02121342635073647,1924542953.348177,0.00012777931277696553,0.376953125,0.0625
730,,2.0,0.021456758314661796,2042736950.0360558,0.0001250728952584268,0.333984375,0.0732421875
740,,2.0,0.021242557252959444,2086856831.6553087,0.00014431465325515092,0.359375,0.0712890625
750,,2.0,0.021547458248347157,2870372071.087861,0.0002122531362402924,0.36328125,0.0556640625
760,,2.0,0.021278975071777846,2440681874.900242,0.0001885272848767272,0.384765625,0.0693359375
770,,2.0,0.021384506271224832,2444262009.98809,0.00019478761397140332,0.361328125,0.0625
780,,2.0,0.02114170190326077,2743664446.466126,0.0002221833350226632,0.353515625,0.0673828125
790,,2.0,0.0214600996808296,3234991372.7541575,0.00025977585312375595,0.357421875,0.052734375
800,,2.0,0.021541944881882012,4030406111.93274,0.000339340103760577,0.37109375,0.0712890625
810,,2.0,0.022026159595406825,3154575217.4788947,0.0002557258150694963,0.3515625,0.0537109375
820,,2.0,0.0219438109008945,2746421169.02125,0.0002185611011853439,0.388671875,0.05859375
830,,2.0,0.02101945830984892,3831606959.934567,0.0003237183960749235,0.396484375,0.0634765625
840,,2.0,0.021072115848933735,4706952970.785357,0.0004087807769614926,0.326171875,0.0673828125
850,,2.0,0.021524519281016133,3388060336.464294,0.0002846529790332397,0.384765625,0.068359375
860,,2.0,0.021411571756961605,2558709973.3707914,0.00020201547198439584,0.35546875,0.05859375
870,,2.0,0.021620307251900898,1802403575.7352567,0.00014329400517532065,0.37109375,0.072265625
880,,2.0,0.021705956897491416,1282399356.6681468,9.783976842925313e-05,0.390625,0.064453125
890,,2.0,0.022538074277454946,1265285099.3048217,9.695425412736824e-05,0.376953125,0.05859375
900,,2.0,0.022646451747981893,1716800144.565027,0.00013926400471575562,0.349609375,0.0634765625
910,,2.0,0.021697244312943745,1174724175.61057,8.542733865368746e-05,0.392578125,0.0615234375
920,,2.0,0.02206834658974375,1149780602.4156265,8.241592375313189e-05,0.3515625,0.064453125
930,,2.0,0.02265110652464184,1225649008.0794241,8.769382608164733e-05,0.365234375,0.068359375
940,,2.0,0.02253209395761236,891188285.176534,5.8657392798977526e-05,0.380859375,0.064453125
950,,2.0,0.022227246104828787,924370622.4780563,6.148492710167375e-05,0.404296875,0.0595703125
960,,2.0,0.0231444342243834,786734343.8607888,5.847842884421084e-05,0.357421875,0.0703125
970,,2.0,0.021899473885691554,649820530.3691102,4.09815463058294e-05,0.349609375,0.0693359375
980,,2.0,0.021795882877360957,617138117.3462799,3.771143380504327e-05,0.380859375,0.0576171875
990,,2.0,0.020955596570332538,667011368.4045365,4.504772034863436e-05,0.380859375,0.0546875
1000,,2.0,0.021312902257347773,762978473.8875455,5.621532690724962e-05,0.330078125,0.0546875
1010,,2.0,0.021340065639748978,718668083.4437153,4.112328093697215e-05,0.37109375,0.0693359375
1020,,2.0,0.021234165248612855,705755690.0890687,4.5807461120261905e-05,0.353515625,0.0703125
1030,,2.0,0.020778206423615702,1094580054.2161973,7.259899420830607e-05,0.337890625,0.0556640625
1040,,2.0,0.021412765468836813,1005765170.3679011,6.466567043617033e-05,0.36328125,0.0615234375
1050,,2.0,0.021015708285004913,977389774.121404,5.767400965339675e-05,0.33984375,0.0654296875
1060,,2.0,0.020931582617900492,1045113400.1375399,6.12485010265118e-05,0.373046875,0.0595703125
1070,,2.0,0.020935284856221995,989075647.7445441,6.069530675745227e-05,0.326171875,0.060546875
1080,,2.0,0.02020588982071512,1078754129.1359117,6.18875338318503e-05,0.39453125,0.0615234375
1090,,2.0,0.02055024806205583,967382982.748092,5.4343625809138985e-05,0.310546875,0.0546875
1100,,2.0,0.020215648143126128,813186107.511778,4.094351250216732e-05,0.376953125,0.0673828125
1110,,2.0,0.019957322403454183,809955366.2431053,3.5745058298175536e-05,0.318359375,0.0556640625
1120,,2.0,0.019681965161916167,967726557.195135,5.15897004333965e-05,0.36328125,0.0625
1130,,2.0,0.019743438195932512,1154346416.0592213,5.8308532643991384e-05,0.341796875,0.068359375
1140,,2.0,0.019900804956364634,1288594967.7767792,6.250131993112973e-05,0.34765625,0.068359375
1150,,2.0,0.020213306664630136,1180072068.007461,5.565569065879572e-05,0.34765625,0.0751953125
1160,,2.0,0.02054588844403459,1347362898.4320798,5.5805861990165795e-05,0.349609375,0.0625
1170,,2.0,0.020228656841243458,1813319028.626169,9.705550823468911e-05,0.3515625,0.060546875
1180,,2.0,0.020213413044953586,1319570651.3652978,6.307397386251523e-05,0.38671875,0.0498046875
1190,,2.0,0.020683753730069542,1189967900.5250826,5.59453457356085e-05,0.349609375,0.0771484375
1200,,2.0,0.02057595648620172,1255473519.941995,5.671119396311042e-05,0.375,0.0595703125
1210,,2.0,0.02003765793804651,1662295886.7189422,6.347412708862521e-05,0.357421875,0.0576171875
1220,,2.0,0.020704375032449797,1466062596.3166432,5.427415396752622e-05,0.35546875,0.05078125
1230,,2.0,0.02041833923736138,1384813937.1111932,4.9776394945411084e-05,0.349609375,0.0517578125
1240,,2.0,0.020234025404579564,1394617194.891335,5.1613095934044395e-05,0.357421875,0.0703125
1250,,2.0,0.020415220305998807,1632185995.0463398,5.670033851856715e-05,0.3828125,0.0615234375
1260,,2.0,0.020049350691391996,1658564759.1015432,5.212344217397913e-05,0.326171875,0.0595703125
1270,,2.0,0.020878835184560598,1616253319.9518394,5.0712027530153136e-05,0.37109375,0.05078125
1280,,2.0,0.02148836618194546,1493760962.229182,6.34804659114252e-05,0.3359375,0.0732421875
1290,,2.0,0.021533192993281724,1759805617.2785778,7.536638884175773e-05,0.365234375,0.0478515625
1300,,2.0,0.02115226417105648,1695605841.5222735,6.556141784130887e-05,0.34765625,0.0478515625
1310,,2.0,0.02210524823094844,1459014942.5645146,6.488481196242901e-05,0.37890625,0.0625
1320,,2.0,0.02164507110944788,1294614734.3555753,5.5247160148041985e-05,0.388671875,0.0595703125
1330,,2.0,0.02155301737862292,1621629760.1245608,6.626074601001619e-05,0.365234375,0.0625
1340,,2.0,0.020893847571334445,1739930096.238231,6.843456762339883e-05,0.337890625,0.06640625
1350,,2.0,0.02096586514451636,2065035355.5729823,8.965338813027302e-05,0.3046875,0.0625
1360,,2.0,0.02076620730972655,1945607646.0201917,8.00148208952578e-05,0.3515625,0.0537109375
1370,,2.0,0.020683816124058983,2962442191.008326,0.00014377053972047804,0.33203125,0.0546875
1380,,2.0,0.02044806515444504,4253004303.3632874,0.0002310751281981993,0.34765625,0.0732421875
1390,,2.0,0.021098978007204856,3635636899.0440598,0.00016653261113219742,0.3984375,0.0576171875
1400,,2.0,0.021254278980997146,4338889939.941009,0.00019615686937868304,0.38671875,0.064453125
1410,,2.0,0.020647391318034537,4385051227.792249,0.00022084654118970093,0.337890625,0.0732421875
1420,,2.0,0.02052608465224753,3507685235.482512,0.00014368681748067047,0.310546875,0.060546875
1430,,2.0,0.01972393537774652,3076156299.853636,0.00011776003331931406,0.3515625,0.0439453125
1440,,2.0,0.019960104740986653,3361939216.7508974,0.00012681230026601042,0.36328125,0.0634765625
1450,,2.0,0.019991833242490428,3248728791.243216,9.326590938485424e-05,0.345703125,0.064453125
1460,,2.0,0.020327853046949732,3670226598.569859,0.0001194689270107574,0.375,0.0654296875
1470,,2.0,0.020190231907635775,3469913649.717135,8.559884904713044e-05,0.376953125,0.0732421875
1480,,2.0,0.01995455412299434,3603504257.7066073,0.00011562449917335016,0.375,0.0673828125
1490,,2.0,0.020449776279093886,4128093265.799517,0.00012475975341175172,0.400390625,0.0673828125
1500,,2.0,0.02010187644499234,4044944452.9917917,8.935361792339336e-05,0.361328125,0.0625
1510,,2.0,0.02005070144188665,4611778852.380074,0.00013168088396042776,0.37109375,0.0654296875
1520,,2.0,0.019708539675610953,5689140122.38017,0.0001673358923426349,0.345703125,0.0576171875
1530,,2.0,0.019905334281788888,7168949033.797361,0.0001845679119298893,0.357421875,0.052734375
1540,,2.0,0.020301438792647643,7104269404.111911,0.00021852985089765298,0.345703125,0.05859375
1550,,2.0,0.019959782077679948,7286579109.696079,0.00012826438659629957,0.36328125,0.0478515625
1560,,2.0,0.019289342375721642,8494751965.187542,0.00012873610164376714,0.34375,0.052734375
1570,,2.0,0.01953608850225711,8989527410.07947,6.669258034719405e-05,0.369140625,0.064453125
1580,,2.0,0.019863150017014886,8058206970.4800205,9.10660049555645e-05,0.349609375,0.0634765625
1590,,2.0,0.020102308899452494,7947937677.841316,6.173606497839046e-05,0.41796875,0.0712890625
1600,,2.0,0.019434464563892407,7965669876.407589,0.00011874326084182485,0.359375,0.05078125
1610,,2.0,0.019237764092717023,8752994307.812994,0.00017498310982944076,0.314453125,0.0673828125
1620,,2.0,0.019634011592900368,9154124579.910906,0.00018186795964680869,0.400390625,0.0556640625
1630,,2.0,0.019285364086223444,8109789898.403075,0.00016199044723919087,0.361328125,0.0537109375
1640,,2.0,0.020197477736733055,6929511724.316681,0.0002615225268591814,0.34765625,0.0576171875
1650,,2.0,0.020185402785630843,7072449705.762663,0.00025477562855513725,0.322265625,0.064453125
1660,,2.0,0.019606323778180657,6393600672.166042,0.00020832198970310856,0.337890625,0.0615234375
1670,,2.0,0.020094928645168583,5180328013.131713,0.00015902943746937126,0.359375,0.0625
1680,,2.0,0.01973381185146356,5376807806.38156,0.00023903049596896153,0.39453125,0.0625
1690,,2.0,0.019441595643734925,5875999579.091623,0.0002640754435248027,0.36328125,0.0615234375
1700,,2.0,0.020298563332131685,7421776129.887343,0.000377800268033468,0.365234375,0.0634765625
1710,,2.0,0.01959785101781273,7118123694.682579,0.00035319526755017705,0.322265625,0.0703125
1720,,2.0,0.019258660643168883,6629278526.237227,0.00031563211238960776,0.349609375,0.05859375
1730,,2.0,0.019232447332414755,7841732752.66557,0.0003379275971298057,0.365234375,0.0595703125
1740,,2.0,0.01926752312843209,6675912559.224749,0.00028108715061847533,0.341796875,0.0546875
1750,,2.0,0.019156198763445466,4911434988.574617,0.0001455663500138371,0.36328125,0.0625
1760,,2.0,0.019121714452065914,4356111558.215644,0.0001754228741077668,0.333984375,0.0576171875
1770,,2.0,0.018437863110380957,6037164001.376479,0.00025975086036567063,0.3515625,0.056640625
1780,,2.0,0.018661399171094422,5108060195.042091,0.00018919978521125813,0.33984375,0.060546875
1790,,2.0,0.01878899270468661,4909126237.8999,0.00017796093473521069,0.416015625,0.056640625
1800,,2.0,0.018745464377795812,5282315946.54352,0.00020518509524691808,0.330078125,0.0576171875
1810,,2.0,0.018435855952474742,4576863837.119623,0.00016120443424938458,0.365234375,0.0498046875
1820,,2.0,0.018056108640436042,4183167062.6593637,0.00020226035876191872,0.34765625,0.0576171875
1830,,2.0,0.018478178918386757,2945947590.260261,0.00010625135446673539,0.3671875,0.0595703125
1840,,2.0,0.018929891209632267,3643015990.471963,0.00012976962591082497,0.357421875,0.05859375
1850,,2.0,0.019241276238129462,4323538979.2338505,0.00017663856239380493,0.384765625,0.0537109375
1860,,2.0,0.018026708492392695,5365462554.140368,0.00021810217617712624,0.37109375,0.05859375
1870,,2.0,0.018127176416083624,6580762350.135007,0.00033065974560031464,0.357421875,0.056640625
1880,,2.0,0.017969668392546396,3743394253.7608256,0.00016906484709267033,0.384765625,0.05078125
1890,,2.0,0.01804391129010794,4095267911.39355,0.0001852823626791178,0.390625,0.0654296875
1900,,2.0,0.018060266532768463,3722993491.2824035,0.0001741984470982061,0.369140625,0.04296875
1910,,2.0,0.018047496317339897,4479029420.920837,0.00021674215594202906,0.3203125,0.0537109375
1920,,2.0,0.01796397276041872,4154891373.5205507,0.00015969795521186825,0.349609375,0.05859375
1930,,2.0,0.017465231802153664,4033866976.11296,0.00014526949149740176,0.337890625,0.0634765625
1940,,2.0,0.017506246227872377,4690226252.445773,0.00018526159692555666,0.345703125,0.0439453125
1950,,2.0,0.01778861602315153,4834702561.380049,0.00019498347165836094,0.365234375,0.0634765625
1960,,2.0,0.018499687112502626,4800534937.893757,0.00018290834316303517,0.349609375,0.056640625
1970,,2.0,0.018009141197028778,4503232435.348459,0.00016608783391802717,0.349609375,0.056640625
1980,,2.0,0.017300940649174493,3699521422.7080173,0.00010904387085020062,0.31640625,0.048828125
1990,,2.0,0.01669145418141807,3240855658.923562,9.805381890259923e-05,0.35546875,0.0615234375
2000,,2.0,0.0167962104133938,3003310563.0398946,8.259395961829341e-05,0.333984375,0.0576171875
2010,,2.0,0.017113161495208116,2444664436.08972,6.413329865040396e-05,0.353515625,0.056640625
2020,,2.0,0.01691093214436456,2805142321.7205887,0.00010040526260013394,0.3359375,0.0576171875
2030,,2.0,0.01687808272843987,2991538381.0285187,0.00012308624161505577,0.296875,0.0634765625
2040,,2.0,0.01676382483640219,2398439560.1775327,8.656019059571918e-05,0.322265625,0.064453125
2050,,2.0,0.01727864659390584,3037483981.478178,0.00012620582481304154,0.306640625,0.0615234375
2060,,2.0,0.017128873833429262,3879686545.570626,0.00017311061392888405,0.369140625,0.05859375
2070,,2.0,0.016773988478597887,2767374451.6681695,0.000119120305839715,0.3515625,0.0615234375
2080,,2.0,0.01737288058177352,2295521303.424359,9.444128605196056e-05,0.34375,0.0576171875
2090,,2.0,0.017839987984307113,1993156451.0925488,8.200336355912441e-05,0.33203125,0.0634765625
2100,,2.0,0.01728869236770073,1898975952.0764625,8.085530203061353e-05,0.349609375,0.0517578125
2110,,2.0,0.017416184962639192,2905691732.3609676,0.00014031462036712128,0.361328125,0.064453125
2120,,2.0,0.01749171101019782,2067933638.1070454,9.129941452101775e-05,0.359375,0.064453125
2130,,2.0,0.017392400675801604,2228662898.2786093,9.453278517668195e-05,0.35546875,0.056640625
2140,,2.0,0.01709996497630171,2009927524.7404957,7.625166217195556e-05,0.341796875,0.0546875
2150,,2.0,0.017171710794350304,1756482088.061704,6.470706239625201e-05,0.353515625,0.0693359375
2160,,2.0,0.017841322015812528,2372455133.9435863,9.246882564184489e-05,0.369140625,0.060546875
2170,,2.0,0.01747630916787414,2284144893.1580405,9.774121865291363e-05,0.357421875,0.060546875
2180,,2.0,0.017936405937544486,1769284293.0911207,6.984279045241237e-05,0.35546875,0.060546875
2190,,2.0,0.01762511188837131,1825581078.6864467,7.059782961960082e-05,0.36328125,0.048828125
2200,,2.0,0.0178414583231753,1617857462.6811671,6.60120079629678e-05,0.322265625,0.0576171875
2210,,2.0,0.01804443477159345,1845872516.987873,7.504459684071207e-05,0.345703125,0.0576171875
2220,,2.0,0.017567940720144525,1769831506.2916996,6.838407598763752e-05,0.341796875,0.0478515625
2230,,2.0,0.01760860411933229,2048086241.8801558,8.240209592713654e-05,0.33984375,0.0751953125
2240,,2.0,0.017747327518648513,2411910007.763511,9.53505472125471e-05,0.376953125,0.05078125
2250,,2.0,0.017534243505237766,2255186373.9479113,8.565609554267439e-05,0.357421875,0.05078125
2260,,2.0,0.017411276735815228,3074887337.74914,0.00013740810807405524,0.318359375,0.046875
2270,,2.0,0.017425694544321683,3815570759.380538,0.00017532832178801527,0.306640625,0.0546875
2280,,2.0,0.01723921022836084,2825216865.7898326,0.00011959586802845479,0.326171875,0.048828125
2290,,2.0,0.017795846898781154,2726471309.6282654,8.962749208762943e-05,0.349609375,0.06640625
2300,,2.0,0.017662991982347293,3052533496.303109,0.0001129207830103951,0.36328125,0.048828125
2310,,2.0,0.018276200576863064,3895662736.42228,0.00016826829032368096,0.318359375,0.0625
2320,,2.0,0.01867816789348135,3299260141.3540406,0.00012134956291731669,0.34375,0.0595703125
2330,,2.0,0.018143646495708775,2908805525.097035,0.00011200784547327203,0.33203125,0.0615234375
2340,,2.0,0.018573244113699088,3212473103.4170814,0.00011685793870697125,0.349609375,0.0703125
2350,,2.0,0.018317994164144858,3438802693.405213,0.0001172413020356089,0.341796875,0.0673828125
2360,,2.0,0.01857799186692317,3302387303.6383905,0.00010099296531507207,0.33203125,0.0546875
2370,,2.0,0.018588091423946778,3723403210.8069563,9.976443384118738e-05,0.3515625,0.05078125
2380,,2.0,0.018832394664243454,2745911962.1670766,7.37074683740957e-05,0.328125,0.0537109375
2390,,2.0,0.01831821789676067,3296624484.7295628,8.985168653907749e-05,0.373046875,0.056640625
2400,,2.0,0.018527871640931684,3119293809.4988413,9.776217893886496e-05,0.34765625,0.0576171875
2410,,2.0,0.01868968491405909,2930763006.0287895,7.793648403264797e-05,0.337890625,0.0576171875
2420,,2.0,0.019052880498117757,3637380307.099524,0.00012737807794849232,0.3515625,0.0478515625
2430,,2.0,0.018847421327419154,3459112599.0467415,0.00014085358317572627,0.3515625,0.05078125
2440,,2.0,0.019471530439745255,4753574948.778121,0.00021480659955130932,0.3671875,0.056640625
2450,,2.0,0.019099871221172217,3654221754.8298254,0.00016158943697064387,0.330078125,0.05078125
2460,,2.0,0.01922251662668993,3988018772.6239543,0.00017338198475158606,0.36328125,0.05078125
2470,,2.0,0.019447802707056185,3956176852.791521,0.00015106099166928288,0.345703125,0.05078125
2480,,2.0,0.01908015596932979,4152449795.146461,0.00017872787722694738,0.359375,0.0634765625
2490,,2.0,0.01935697062866527,4232086830.191827,0.00018997462539260823,0.3359375,0.0546875
2500,,2.0,0.01883438675970446,5068335549.655667,0.0002173682448116665,0.357421875,0.060546875
2510,,2.0,0.019119771405721114,4478213638.229118,0.0001971960372486592,0.33203125,0.0625
2520,,2.0,0.01892164855605571,3290588382.3343215,0.00013082747302917141,0.361328125,0.06640625
2530,,2.0,0.01860071674080817,2676320745.447514,7.712654376490491e-05,0.3046875,0.052734375
2540,,2.0,0.01817135015682231,3075926034.7639213,5.668331242247859e-05,0.328125,0.0556640625
2550,,2.0,0.018317676564428745,2657122891.126136,2.9606995610720332e-05,0.365234375,0.0537109375
2560,,2.0,0.018125070102224097,2600688165.298613,1.7503923430695068e-06,0.3671875,0.0478515625
2570,,2.0,0.018145906252841845,2539460509.553655,1.8483467840724188e-06,0.333984375,0.064453125
2580,,2.0,0.01782749622815121,2459191791.8829727,-1.592215269852204e-05,0.375,0.0478515625
